ESTO013-17;Engenharia Econômica
MCTA028-15;Programação Estruturada
ESTA004-17;Circuitos Elétricos II
ESTI017-17;Fundamentos de Eletromagnetismo Aplicado
ESTA007-17;Eletrônica Analógica Aplicada
ESTI903-17;Trabalho de Graduação II em Engenharia de Informação
ESTI902-17;Trabalho de Graduação I em Engenharia de Informação
ESTO012-17;Princípios de Administração
ESTI905-17;Estágio Curricular em Engenharia de Informação
ESTI013-17;Sistemas Microprocessados
ESTI015-17;Comunicações Móveis
ESTI019-17;Codificação de Sinais Multimídia
ESTI008-17;Teoria da Informação e Códigos
ESTI020-17;Teoria de Filas e Análise de Desempenho
ESTI904-17;Trabalho de Graduação III em Engenharia de Informação
ESTI007-17;Comunicação Digital
ESTI002-17;Eletrônica Digital
ESTI010-17;Comunicações Ópticas
